last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Alers,Jim,Jim Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,FALSE,USA,31,FALSE
Alessio,John,John Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,FALSE,CAN,34,FALSE
Alexander,Houston,Houston Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,FALSE,USA,31,FALSE
Alexander,Kenneth,Kenneth Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,FALSE,USA,27,FALSE
Alexander,Lucas,Lucas Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,3,0,FALSE,USA,27,FALSE
Alexandre Junior,Marcio,Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,FALSE,ROM,27,FALSE
Alfonso,Olaf,Olaf Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,FALSE,USA,29,FALSE
Alfonso,Pablo,Pablo Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,FALSE,USA,29,FALSE
Alford,Levi,Levi Alford,,--,--,--,,1,7,0,FALSE,USA,27,FALSE
Algeo,Bill,Bill Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,17,7,0,FALSE,USA,31,TRUE
Alger,Royce,Royce Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,FALSE,USA,29,FALSE
Aliakbari,Amir,Amir Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,FALSE,IRI,31,FALSE
Aliev,Sultan,Sultan Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,FALSE,RUS,28,FALSE
Aliev,Nurullo,Nurullo Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,FALSE,TJK,29,FALSE
Aliskerov,Ikram,Ikram Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,14,1,0,FALSE,RUS,31,FALSE
Aliu,Leon,Leon Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,FALSE,RUS,27,FALSE
Allan,John,John Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,FALSE,BRA,34,FALSE
Allen,George,George Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,FALSE,USA,31,FALSE
Allen,Arnold,Arnold Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,2,0,FALSE,ENG,31,TRUE
Allen,Brendan,Brendan Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,22,5,0,FALSE,USA,31,TRUE
Alloway,Ben,Ben Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,FALSE,AUS,31,FALSE
Almabayev,Assu,Assu Almabayev,Zulfikar,--,125 lbs.,--,,17,2,0,FALSE,KAZ,31,FALSE
Almeida,Ricardo,Ricardo Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,FALSE,BRA,29,FALSE
Almeida,Magno,Magno Almeida,,"6' 0""",155 lbs.,--,,10,3,0,FALSE,BRA,27,FALSE
Almeida,Thomas,Thomas Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,FALSE,BRA,28,FALSE
Almeida,Ericka,Ericka Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,FALSE,BRA,31,FALSE
Almeida,Estefani,Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,FALSE,BRA,31,FALSE
Almeida,Jailton,Jailton Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,19,2,0,FALSE,BRA,31,TRUE
Almeida,Lucas,Lucas Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,2,0,FALSE,BRA,27,TRUE
Almeida,Cesar,Cesar Almeida,Cesinha,--,185 lbs.,--,,3,0,0,FALSE,BRA,31,FALSE
Alonso,Mauricio,Mauricio Alonso,,"6' 2""",170 lbs.,--,,13,7,0,FALSE,BRA,27,FALSE
Alpar,Sarah,Sarah Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,FALSE,USA,29,FALSE
AlQaisi,Ali,Ali AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,FALSE,JOR,31,FALSE
Altamirano,Rico,Rico Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,FALSE,USA,29,FALSE
Altamirano,Victor,Victor Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,3,0,FALSE,USA,28,TRUE
Altman,Mike,Mike Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,FALSE,SWE,27,FALSE
Alujas,Patricia,Patricia Alujas,El Angel,--,115 lbs.,--,,9,2,0,FALSE,USA,29,FALSE
Alvarez,Sean,Sean Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,FALSE,USA,29,FALSE
Alvarez,Eddie,Eddie Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,TRUE,USA,31,FALSE
Alvarez,Jaime,Jaime Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,FALSE,USA,31,FALSE
Alvarez,Joel,Joel Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19,3,0,FALSE,ESP,34,FALSE
Alves,Thiago,Thiago Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,FALSE,BRA,28,FALSE
Alves,Anthony,Anthony Alves,,--,--,--,,1,4,0,FALSE,BRA,31,FALSE
Alves,Amilcar,Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,FALSE,BRA,31,FALSE
Alves,Warlley,Warlley Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,6,0,FALSE,BRA,28,FALSE
Alves,Rafael,Rafael Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,FALSE,BRA,29,TRUE
Alvey,Sam,Sam Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,FALSE,USA,29,TRUE
Amado,Andre,Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,FALSE,BRA,31,FALSE
Amagov,Adlan,Adlan Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,FALSE,RUS,#N/A,FALSE
