w_d,fighter,kd,str,td,sub,weight_class,method,round,time,event,date,location,,,,,,
win,Erin Blanchfield  Jessica Andrade,0  0,51  53,1  0,1  0,Women's Flyweight,SUB: Rear Naked Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Zac Pauga  Jordan Wright,0  0,59  29,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Jamal Pogues  Josh Parisian,0  0,33  37,5  1,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Marcin Prachnio  William Knight,0  0,79  8,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Alexander Hernandez  Jim Miller,0  0,108  67,0  0,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Nazim Sadykhov  Evan Elder,0  1,64  70,1  1,0  0,Lightweight,KO/TKO,3,0:38,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Mayra Bueno Silva  Lina Lansberg,0  0,39  25,2  0,1  0,Women's Bantamweight,SUB: Kneebar,2,4:45,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Jamall Emmers  Khusein Askhabov,0  0,62  30,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Philipe Lins  Ovince Saint Preux,1  0,18  1,0  0,0  0,Light Heavyweight,KO/TKO: Punch,1,0:49,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,AJ Fletcher  Themba Gorimbo,0  0,7  6,0  2,1  0,Welterweight,SUB: Guillotine Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Clayton Carpenter  Juancamilo Ronderos,0  0,3  1,0  1,3  0,Flyweight,SUB: Rear Naked Choke,1,3:13,UFC Fight Night: Andrade vs. Blanchfield,02/18/23,"Las Vegas, Nevada, USA",,,,,,
win,Islam Makhachev  Alexander Volkanovski,0  1,57  70,4  0,0  0,Lightweight,U-DEC,5,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Yair Rodriguez  Josh Emmett,0  0,62  22,0  1,1  0,Featherweight,SUB: Triangle Choke,2,4:19,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Jack Della Maddalena  Randy Brown,1  0,14  11,0  0,1  0,Welterweight,SUB: Rear Naked Choke,1,2:13,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Justin Tafa  Parker Porter,1  0,8  7,0  0,0  0,Heavyweight,KO/TKO: Punch,1,1:06,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
draw,Jimmy Crute  Alonzo Menifield,0  2,31  56,6  0,3  0,Light Heavyweight,M-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Modestas Bukauskas  Tyson Pedro,0  0,44  45,0  2,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Josh Culibao  Melsik Baghdasaryan,0  0,16  26,0  0,1  0,Featherweight,SUB: Rear Naked Choke,2,2:02,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Kleydson Rodrigues  Shannon Ross,1  0,14  1,0  0,0  0,Flyweight,KO/TKO: Punches,1,0:59,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Jamie Mullarkey  Francisco Prado,0  0,59  28,3  0,0  1,Lightweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Jack Jenkins  Don Shainis,0  0,82  50,4  1,0  2,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Loma Lookboonmee  Elise Reed,0  0,17  17,2  0,1  0,Women's Strawweight,SUB: Rear Naked Choke,2,0:44,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Blake Bilder  Shane Young,0  0,111  80,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Elves Brener  Zubaira Tukhugov,0  0,69  70,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,02/11/23,"Perth, Western Australia, Australia",,,,,,
win,Serghei Spivac  Derrick Lewis,0  0,12  0,6  0,1  0,Heavyweight,SUB: Arm Triangle,1,3:05,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Devin Clark  Da Woon Jung,0  0,39  18,3  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Marcin Tybura  Blagoy Ivanov,0  0,40  34,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
draw,Dooho Choi  Kyle Nelson,0  0,50  20,0  5,0  0,Featherweight,M-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Adam Fugitt  Yusaku Kinoshita,0  0,21  10,4  0,0  0,Welterweight,KO/TKO: Elbows,1,4:36,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Anshul Jubli  Jeka Saragih,0  0,38  14,2  0,1  0,Lightweight,KO/TKO: Elbows,2,3:44,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,JeongYeong Lee  Yi Zha,0  0,25  24,0  5,0  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Rinya Nakamura  Toshiomi Kazama,2  0,11  4,0  0,0  0,Bantamweight,KO/TKO: Punch,1,0:33,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,HyunSung Park  SeungGuk Choi,0  1,38  20,1  0,3  0,Flyweight,SUB: Rear Naked Choke,3,3:11,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,JunYong Park  Denis Tiuliulin,0  0,25  8,1  0,1  0,Middleweight,SUB: Rear Naked Choke,1,4:05,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Tatsuro Taira  Jesus Aguilar,0  0,1  2,1  0,2  1,Flyweight,SUB: Triangle Armbar,1,4:20,UFC Fight Night: Lewis vs. Spivac,02/04/23,"Las Vegas, Nevada, USA",,,,,,
win,Jamahal Hill  Glover Teixeira,0  0,232  75,0  2,0  0,Light Heavyweight,U-DEC,5,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Brandon Moreno  Deiveson Figueiredo,0  0,48  19,3  1,0  2,Flyweight,KO/TKO,3,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Gilbert Burns  Neil Magny,0  0,5  4,1  0,1  0,Welterweight,SUB: Arm Triangle,1,4:15,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Jessica Andrade  Lauren Murphy,0  0,231  100,1  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Johnny Walker  Paul Craig,1  0,16  3,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,2:16,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Ihor Potieria  Mauricio Rua,1  0,21  17,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,4:05,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Brunno Ferreira  Gregory Rodrigues,1  0,22  21,0  0,0  0,Middleweight,KO/TKO: Punch,1,4:13,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Thiago Moises  Melquizael Costa,0  0,22  23,4  0,1  0,Lightweight,SUB: Rear Naked Choke,2,4:05,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Gabriel Bonfim  Mounir Lazzez,0  0,9  9,0  0,1  0,Welterweight,SUB: Guillotine Choke,1,0:49,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Jailton Almeida  Shamil Abdurakhimov,0  0,45  1,3  0,0  0,Heavyweight,KO/TKO: Punches,2,2:56,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Cody Stamann  Luan Lacerda,0  0,103  80,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Ismael Bonfim  Terrance McKinney,1  0,34  14,1  0,0  0,Lightweight,KO/TKO: Flying Knee,2,2:17,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Nicolas Dalby  Warlley Alves,0  0,119  66,0  1,0  0,Welterweight,S-DEC,3,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Josiane Nunes  Zarah Fairn,0  0,102  117,0  0,0  0,Women's Featherweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Daniel Marcos  Saimon Oliveira,1  0,53  23,0  0,0  0,Bantamweight,KO/TKO: Knees,2,2:18,UFC 283: Teixeira vs. Hill,01/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,,,
win,Sean Strickland  Nassourdine Imavov,0  0,182  123,1  0,0  0,Light Heavyweight,U-DEC,5,5:00,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Dan Ige  Damon Jackson,1  0,34  36,1  0,0  0,Featherweight,KO/TKO: Punch,2,4:13,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Roman Kopylov  Punahele Soriano,0  0,82  39,1  0,0  0,Middleweight,KO/TKO: Kick,2,3:19,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Raquel Pennington  Ketlen Vieira,0  0,81  64,0  0,0  0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Umar Nurmagomedov  Raoni Barcelos,1  0,36  13,0  0,0  0,Bantamweight,KO/TKO: Punch,1,4:40,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Javid Basharat  Mateus Mendonca,0  0,95  29,3  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Abdul Razak Alhassan  Claudio Ribeiro,1  0,17  19,0  0,0  0,Middleweight,KO/TKO: Punches,2,0:28,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Mateusz Rebecki  Nick Fiore,0  0,89  34,3  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Allan Nascimento  Carlos Hernandez,0  0,6  3,2  0,1  0,Flyweight,SUB: Rear Naked Choke,1,3:16,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Dan Argueta  Nick Aguirre,0  0,47  14,4  0,2  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Charles Johnson  Jimmy Flick,0  0,34  7,0  1,0  0,Flyweight,KO/TKO: Punches,1,4:33,UFC Fight Night: Strickland vs. Imavov,01/14/23,"Las Vegas, Nevada, USA",,,,,,
win,Jared Cannonier  Sean Strickland,0  0,141  152,0  1,0  0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Arman Tsarukyan  Damir Ismagulov,0  0,34  36,7  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Amir Albazi  Alessandro Costa,2  0,37  17,1  0,0  0,Flyweight,KO/TKO: Punch,3,2:13,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Alex Caceres  Julian Erosa,1  0,16  10,0  0,0  0,Featherweight,KO/TKO: Kick,1,3:04,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Drew Dober  Bobby Green,1  0,34  73,0  0,0  0,Lightweight,KO/TKO: Punch,2,2:45,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Michal Oleksiejczuk  Cody Brundage,0  0,15  0,0  3,0  0,Middleweight,KO/TKO: Punch,1,3:16,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Cory McKenna  Cheyanne Vlismas,0  0,22  33,2  0,0  1,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Matthew Semelsberger  Jake Matthews,3  0,45  32,3  1,0  1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Said Nurmagomedov  Saidyokub Kakhramonov,0  0,7  11,0  5,3  1,Bantamweight,SUB: Guillotine Choke,2,3:50,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Rafa Garcia  Maheshate,0  0,49  25,6  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Rinat Fakhretdinov  Bryan Battle,1  0,43  3,7  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Manel Kape  David Dvorak,1  0,58  33,0  2,2  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
win,Sergey Morozov  Journey Newson,0  0,30  26,6  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,12/17/22,"Las Vegas, Nevada, USA",,,,,,
draw,Jan Blachowicz  Magomed Ankalaev,0  0,55  78,0  2,0  0,Light Heavyweight,S-DEC,5,5:00,UFC 282: Blachowicz vs. Ankalaev,12/10/22,"Las Vegas, Nevada, USA",,,,,,
win,Paddy Pimblett  Jared Gordon,0  0,63  60,0  3,0  0,Lightweight,U-DEC,3,5:00,UFC 282: Blachowicz vs. Ankalaev,12/10/22,"Las Vegas, Nevada, USA",,,,,,
win,Santiago Ponzinibbio  Alex Morono,1  1,66  38,0  0,0  0,Catch Weight,KO/TKO: Punches,3,2:29,UFC 282: Blachowicz vs. Ankalaev,12/10/22,"Las Vegas, Nevada, USA",,,,,,
