full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Chris Fishgold,,ENG,27, 2.01, 32, 2.70, 46, 2.59, 46, 44, 1.3
Rafael Fiziev,Ataman,KGZ,29, 5.06, 51, 5.17, 48, 0.31, 40, 90, 0.0
Jimmy Flick,The Brick,USA,32, 1.99, 50, 5.05, 38, 1.66, 27, 0, 4.4
Rob Font,,USA,29, 6.46, 46, 4.03, 56, 1.01, 36, 55, 0.4
Brianna Fortino,The Bull,USA,31, 3.53, 41, 3.23, 57, 2.50, 45, 66, 0.0
Josh Fremd,,USA,34, 3.05, 52, 2.71, 42, 1.56, 75, 31, 1.6
Matt Frevola,The SteamRolla,USA,27, 3.72, 41, 3.56, 59, 2.26, 36, 42, 0.9
Jinh Yu Frey,,USA,34, 2.95, 42, 4.11, 52, 1.02, 37, 89, 0.3
Justin Gaethje,The Highlight,USA,34, 7.38, 60, 7.66, 53, 0.13, 25, 75, 0.0
Mitch Gagnon,,CAN,27, 2.76, 46, 2.21, 61, 1.16, 25, 65, 1.9
Mateusz Gamrot,Gamer,POL,27, 3.03, 51, 3.23, 60, 4.54, 31, 90, 0.2
Shamil Gamzatov,,RUS,29, 5.35, 48, 3.46, 51, 0.00, 0, 50, 0.0
Ciryl Gane,Bon Gamin,FRA,27, 5.08, 59, 2.25, 62, 0.61, 21, 45, 0.5
Cody Garbrandt,No Love,USA,31, 3.00, 40, 3.89, 61, 1.13, 34, 78, 0.0
Steve Garcia,Mean Machine,USA,28, 4.85, 56, 2.61, 46, 1.51, 44, 94, 0.4
Fernie Garcia,,ARG,31, 2.18, 39, 2.83, 54, 0.47, 50, 61, 0.5
Kelvin Gastelum,,USA,27, 3.63, 41, 3.31, 58, 1.00, 30, 62, 0.1
Melissa Gatto,,BRA,27, 3.98, 48, 3.13, 54, 1.18, 21, 63, 0.3
Christos Giagos,The Spartan,USA,27, 2.86, 41, 2.85, 49, 3.16, 41, 52, 0.4
Gregor Gillespie,The Gift,USA,31, 3.74, 52, 2.30, 57, 6.86, 48, 100, 0.8
Ricky Glenn,The Gladiator,USA,29, 3.99, 43, 3.92, 52, 0.56, 13, 68, 0.4
Hannah Goldy,24K,USA,31, 5.78, 46, 4.95, 51, 0.56, 18, 55, 0.3
Erick Gonzalez,The Ghost Pepper,USA,31, 2.40, 36, 8.08, 40, 6.00, 55, 50, 0.0
Jared Gordon,Flash,USA,31, 5.32, 57, 3.28, 58, 2.01, 40, 62, 0.0
Malcolm Gordon,X,CAN,27, 1.93, 42, 2.26, 42, 1.61, 30, 9, 0.8
Tresean Gore,Mr. Vicious,USA,28, 3.04, 53, 6.13, 47, 3.04, 71, 81, 1.2
Kron Gracie,,BRA,27, 3.74, 44, 6.82, 53, 0.47, 25, 0, 0.5
Miranda Granger,Danger,USA,27, 2.79, 47, 2.57, 57, 0.00, 0, 33, 0.0
Davey Grant,Dangerous,ENG,31, 4.78, 44, 3.89, 54, 1.41, 42, 62, 0.2
Alexa Grasso,,MEX,29, 4.88, 43, 4.07, 59, 0.38, 44, 61, 0.6
Tony Gravely,,USA,28, 3.82, 48, 4.47, 44, 5.40, 41, 52, 0.3
Maxim Grishin,Maximus,RUS,27, 3.26, 52, 2.27, 58, 0.21, 16, 66, 0.0
Chris Gruetzemacher,Gritz,USA,27, 6.18, 57, 4.96, 52, 0.21, 50, 65, 0.0
Alexander Gustafsson,The Mauler,SWE,35, 4.03, 40, 3.53, 51, 1.53, 39, 83, 0.4
Jake Hadley,White Kong,ENG,25, 4.21, 48, 3.52, 62, 0.47, 100, 37, 1.9
Uriah Hall,Prime Time,JAM,28, 3.23, 48, 3.85, 54, 0.54, 38, 64, 0.1
Ryan Hall,The Wizard,USA,29, 2.38, 50, 1.33, 65, 0.22, 9, 0, 2.2
Nasrat Haqparast,,AFG,29, 5.06, 44, 4.72, 65, 0.36, 30, 78, 0.0
Walt Harris,The Big Ticket,USA,28, 3.05, 39, 3.33, 54, 0.29, 28, 70, 0.1
Phil Hawes,No Hype,USA,29, 5.55, 59, 3.70, 55, 2.28, 36, 100, 0.2
Ian Heinisch,The Hurricane,USA,31, 3.25, 50, 2.98, 59, 1.02, 17, 59, 0.7
Danny Henry,The Hatchet,SCT,31, 5.20, 51, 4.16, 45, 0.74, 33, 50, 2.2
Victor Henry,La Mangosta,USA,28,LpM: 8.67, 54, 5.98, 48, 0.00, 0, 79, 0.7
Jai Herbert,Black Country Banger,ENG,31, 2.55, 42, 2.92, 45, 0.25, 25, 52, 0.0
Jack Hermansson,The Joker,NOR,31, 5.13, 44, 3.69, 55, 1.66, 29, 75, 0.4
Alexander Hernandez,The Great Ape,USA,35, 4.57, 40, 4.53, 56, 1.38, 32, 63, 0.1
Anthony Hernandez,Fluffy,USA,31, 4.33, 62, 3.36, 46, 6.79, 57, 63, 2.9
Carlos Hernandez,,USA,31, 5.51, 46, 4.41, 49, 1.24, 16, 65, 0.3
Brady Hiestand,,USA,31, 2.93, 52, 3.65, 53, 4.06, 46, 42, 0.3
